"","Ov_coeff","Ov_ic","D_competitor","S_competitor","D_family","S_family","D_genus","S_genus","dist_tax","p_distance","D_Sorg","S_Sorg","Social_org","mass_ratio","D_mass","Dmass_cat","S_mass","Smass_cat","D_diet","S_diet","diet_dist","Lon","Lat","Lat_abs","Continent","Country","Locality","Label","Samp_dur","N_statioins","Effort","Avg_dist","S_area"
"1",0.88,"0.82-0.94","Canis lupus","Lynx lynx","Canidae","Felidae","Canis","Lynx","Diff_F",0.182011195,"Social","Solitary","Social-Solitary",0.32221214406151,29190.755,"Large",21150,"Large","Carnivore","Carnivore","Same_diet",32.43988,40.535206,40.535206,"Asia","Turkey","Ankara","Akbaba_2021",23,24,2687,"2.5",650
"2",0.83,"0.75-0.90","Ursus arctos","Lynx lynx","Ursidae","Felidae","Ursus","Lynx","Diff_F",0.18752216,"Solitary","Solitary","Solitary-Solitary",2.43108018405353,240500,"Large",21150,"Large","Herbivore","Carnivore","Diff_diet",32.43988,40.535206,40.535206,"Asia","Turkey","Ankara","Akbaba_2021",23,24,2687,"2.5",650
"3",0.62,"0.50-0.73","Lynx lynx","Meles meles","Felidae","Mustelidae","Lynx","Meles","Diff_F",0.17722057,"Solitary","Solitary","Solitary-Solitary",0.576444423492554,21150,"Large",11884.03,"Medium-Large","Carnivore","Omnivore","Diff_diet",32.43988,40.535206,40.535206,"Asia","Turkey","Ankara","Akbaba_2021",23,24,2687,"2.5",650
"4",0.87,"0.80-0.93","Lynx lynx","Vulpes vulpes","Felidae","Canidae","Lynx","Vulpes","Diff_F",0.18322068,"Solitary","Solitary","Solitary-Solitary",1.02608712878478,21150,"Large",7580.3,"Medium-Large","Carnivore","Carnivore","Same_diet",32.43988,40.535206,40.535206,"Asia","Turkey","Ankara","Akbaba_2021",23,24,2687,"2.5",650
"5",0.85,"0.80-0.95","Panthera uncia","Lynx lynx","Felidae","Felidae","Panthera","Lynx","Same_f",0.11500135,"Solitary","Solitary","Solitary-Solitary",0.815647206094468,47812.5,"Large",21150,"Large","Carnivore","Carnivore","Same_diet",102.762939,37.309263,37.309263,"Asia","China","Qilianshan National Nature Reserve","Alexander_2016",15,72,8498,NA,480
"6",0.72,"0.61-0.78","Panthera uncia","Vulpes vulpes","Felidae","Canidae","Panthera","Vulpes","Diff_F",0.18537479,"Solitary","Solitary","Solitary-Solitary",1.84173433487924,47812.5,"Large",7580.3,"Medium-Large","Carnivore","Carnivore","Same_diet",102.762939,37.309263,37.309263,"Asia","China","Qilianshan National Nature Reserve","Alexander_2016",15,72,8498,NA,480
"7",0.85,NA,"Crocuta crocuta","Mellivora capensis","Hyaenidae","Mustelidae","Crocuta","Mellivora","Diff_F",0.20772958,"Social","Solitary","Social-Solitary",1.84054963339749,63000,"Large",10000,"Medium-Large","Carnivore","Omnivore","Diff_diet",34.656423,-2.007921,2.007921,"Africa","Tanzania","Serengeti_National_Park","Allen_2018",34,224,98644,"0.25",NA
"8",0.82,NA,"Panthera pardus","Mellivora capensis","Felidae","Mustelidae","Panthera","Mellivora","Diff_F",0.20250158,"Solitary","Solitary","Solitary-Solitary",1.66912082038896,53074.995,"Large",10000,"Medium-Large","Carnivore","Omnivore","Diff_diet",34.656423,-2.007921,2.007921,"Africa","Tanzania","Serengeti_National_Park","Allen_2018",34,224,98644,"0.25",NA
"9",0.18,"0.03-0.35","Panthera tigris","Arctictis binturong","Felidae","Viverridae","Panthera","Arctictis","Diff_F",0.15826123,"Solitary","Solitary","Solitary-Solitary",2.29331222543978,128800,"Large",12999.99,"Medium-Large","Carnivore","Omnivore","Diff_diet",104.351245,-5.444372,5.444372,"Asia","Indonesia","BBNP","Allen_2020",28,60,11896,"2",128.43
"10",0.41,"0.23-0.60","Panthera tigris","Catopuma temminckii","Felidae","Felidae","Panthera","Catopuma","Same_f",0.114499295,"Solitary","Solitary","Solitary-Solitary",2.41591377830105,128800,"Large",11500,"Medium-Large","Carnivore","Carnivore","Same_diet",104.351245,-5.444372,5.444372,"Asia","Indonesia","BBNP","Allen_2020",28,60,11896,"2",128.43
"11",0.6,"0.42-0.77","Panthera tigris","Cuon alpinus","Felidae","Canidae","Panthera","Cuon","Diff_F",0.19509586,"Solitary","Social","Solitary-Social",2.10142044839861,128800,"Large",15750,"Large","Carnivore","Carnivore","Same_diet",104.351245,-5.444372,5.444372,"Asia","Indonesia","BBNP","Allen_2020",28,60,11896,"2",128.43
"12",0.6,"0.42-0.77","Panthera tigris","Helarctos malayanus","Felidae","Ursidae","Panthera","Helarctos","Diff_F",0.191398695,"Solitary","Solitary","Solitary-Solitary",1.02961941718116,128800,"Large",46000,"Large","Carnivore","Omnivore","Diff_diet",104.351245,-5.444372,5.444372,"Asia","Indonesia","BBNP","Allen_2020",28,60,11896,"2",128.43
"13",0.25,"0.11-0.41","Panthera tigris","Hemigalus derbyanus","Felidae","Viverridae","Panthera","Hemigalus","Diff_F",0.15401662,"Solitary","Solitary","Solitary-Solitary",3.99326337618365,128800,"Large",2375,"Small-Medium","Carnivore","Insectivore","Diff_diet",104.351245,-5.444372,5.444372,"Asia","Indonesia","BBNP","Allen_2020",28,60,11896,"2",128.43
"14",0.29,"0.09-0.54","Panthera tigris","Neofelis diardi","Felidae","Felidae","Panthera","Neofelis","Same_f",NA,"Solitary","Solitary","Solitary-Solitary",1.74474550445988,128800,"Large",22500,"Large","Carnivore","Carnivore","Same_diet",104.351245,-5.444372,5.444372,"Asia","Indonesia","BBNP","Allen_2020",28,60,11896,"2",128.43
"15",0.26,"0.09-0.46","Panthera tigris","Paguma larvata","Felidae","Viverridae","Panthera","Paguma","Diff_F",0.155520005,"Solitary","Solitary","Solitary-Solitary",3.39964579097074,128800,"Large",4300,"Small-Medium","Carnivore","Omnivore","Diff_diet",104.351245,-5.444372,5.444372,"Asia","Indonesia","BBNP","Allen_2020",28,60,11896,"2",128.43
"16",0.2,"0.41-0.93","Panthera tigris","Pardofelis marmorata","Felidae","Felidae","Panthera","Pardofelis","Same_f",0.11688999,"Solitary","Solitary","Solitary-Solitary",3.30301523588834,128800,"Large",4736.2495,"Small-Medium","Carnivore","Carnivore","Same_diet",104.351245,-5.444372,5.444372,"Asia","Indonesia","BBNP","Allen_2020",28,60,11896,"2",128.43
"17",0.29,"0.11-0.48","Panthera tigris","Prionailurus bengalensis","Felidae","Felidae","Panthera","Prionailurus","Same_f",0.1108347375,"Solitary","Solitary","Solitary-Solitary",3.43515247942765,128800,"Large",4150,"Small-Medium","Carnivore","Carnivore","Same_diet",104.351245,-5.444372,5.444372,"Asia","Indonesia","BBNP","Allen_2020",28,60,11896,"2",128.43
"18",0.21,"0.05-0.41","Panthera tigris","Prionodon linsang","Felidae","Prionodontidae","Panthera","Prionodon","Diff_F",0.159655445,"Solitary","Solitary","Solitary-Solitary",5.22727587028883,128800,"Large",691.415,"Small","Carnivore","Omnivore","Diff_diet",104.351245,-5.444372,5.444372,"Asia","Indonesia","BBNP","Allen_2020",28,60,11896,"2",128.43
